flagged,source,source_lang,source_script,source_zotero_id,source_linked_data_uri,source_is_linked_data,source_locator,label_original,label_en,label_json,start_label,end_label,date_type,spatial_coverage_name,spatial_coverage_json,spatial_coverage_label,derived_from,broader,notes
,Fasti Online,,,https://www.zotero.org/groups/periodo/items/AR7SF6U9/,,FALSE,http://www.fastionline.org/cgi-bin/mapserv?map=/var/www/html/fasti-vhost-docroot/config/fasti.map&VERSION=1.0.0&SERVICE=WFS&REQUEST=GetFeature&TYPENAME=periods&FILTER=<Filter><PropertyIsEqualTo><PropertyName>ark_id</PropertyName><Literal>137</Literal></PropertyIsEqualTo></Filter>,,Contemporary,,56,0,BP (2000),Albania,"{ ""@id"": ""http://dbpedia.org/resource/Albania"", ""label"": ""Albania"" }",,,,
,Fasti Online,,,https://www.zotero.org/groups/periodo/items/AR7SF6U9/,,FALSE,http://www.fastionline.org/cgi-bin/mapserv?map=/var/www/html/fasti-vhost-docroot/config/fasti.map&VERSION=1.0.0&SERVICE=WFS&REQUEST=GetFeature&TYPENAME=periods&FILTER=<Filter><PropertyIsEqualTo><PropertyName>ark_id</PropertyName><Literal>136</Literal></PropertyIsEqualTo></Filter>,,Modern,,150,56,BP (2000),Albania,"{ ""@id"": ""http://dbpedia.org/resource/Albania"", ""label"": ""Albania"" }",,,,
,Fasti Online,,,https://www.zotero.org/groups/periodo/items/AR7SF6U9/,,FALSE,http://www.fastionline.org/cgi-bin/mapserv?map=/var/www/html/fasti-vhost-docroot/config/fasti.map&VERSION=1.0.0&SERVICE=WFS&REQUEST=GetFeature&TYPENAME=periods&FILTER=<Filter><PropertyIsEqualTo><PropertyName>ark_id</PropertyName><Literal>135</Literal></PropertyIsEqualTo></Filter>,,Ottoman,,611,150,BP (2000),Albania,"{ ""@id"": ""http://dbpedia.org/resource/Albania"", ""label"": ""Albania"" }",,,,
,Fasti Online,,,https://www.zotero.org/groups/periodo/items/AR7SF6U9/,,FALSE,http://www.fastionline.org/cgi-bin/mapserv?map=/var/www/html/fasti-vhost-docroot/config/fasti.map&VERSION=1.0.0&SERVICE=WFS&REQUEST=GetFeature&TYPENAME=periods&FILTER=<Filter><PropertyIsEqualTo><PropertyName>ark_id</PropertyName><Literal>134</Literal></PropertyIsEqualTo></Filter>,,Medieval/Byzantine,,1000,611,BP (2000),Albania,"{ ""@id"": ""http://dbpedia.org/resource/Albania"", ""label"": ""Albania"" }",,,,
,Fasti Online,,,https://www.zotero.org/groups/periodo/items/AR7SF6U9/,,FALSE,http://www.fastionline.org/cgi-bin/mapserv?map=/var/www/html/fasti-vhost-docroot/config/fasti.map&VERSION=1.0.0&SERVICE=WFS&REQUEST=GetFeature&TYPENAME=periods&FILTER=<Filter><PropertyIsEqualTo><PropertyName>ark_id</PropertyName><Literal>133</Literal></PropertyIsEqualTo></Filter>,,Early Medieval,,1435,1000,BP (2000),Albania,"{ ""@id"": ""http://dbpedia.org/resource/Albania"", ""label"": ""Albania"" }",,,,
,Fasti Online,,,https://www.zotero.org/groups/periodo/items/AR7SF6U9/,,FALSE,http://www.fastionline.org/cgi-bin/mapserv?map=/var/www/html/fasti-vhost-docroot/config/fasti.map&VERSION=1.0.0&SERVICE=WFS&REQUEST=GetFeature&TYPENAME=periods&FILTER=<Filter><PropertyIsEqualTo><PropertyName>ark_id</PropertyName><Literal>132</Literal></PropertyIsEqualTo></Filter>,,Late Imperial,,1700,1435,BP (2000),Albania,"{ ""@id"": ""http://dbpedia.org/resource/Albania"", ""label"": ""Albania"" }",,,,
,Fasti Online,,,https://www.zotero.org/groups/periodo/items/AR7SF6U9/,,FALSE,http://www.fastionline.org/cgi-bin/mapserv?map=/var/www/html/fasti-vhost-docroot/config/fasti.map&VERSION=1.0.0&SERVICE=WFS&REQUEST=GetFeature&TYPENAME=periods&FILTER=<Filter><PropertyIsEqualTo><PropertyName>ark_id</PropertyName><Literal>131</Literal></PropertyIsEqualTo></Filter>,,Mid Imperial,,1900,1700,BP (2000),Albania,"{ ""@id"": ""http://dbpedia.org/resource/Albania"", ""label"": ""Albania"" }",,,,
,Fasti Online,,,https://www.zotero.org/groups/periodo/items/AR7SF6U9/,,FALSE,http://www.fastionline.org/cgi-bin/mapserv?map=/var/www/html/fasti-vhost-docroot/config/fasti.map&VERSION=1.0.0&SERVICE=WFS&REQUEST=GetFeature&TYPENAME=periods&FILTER=<Filter><PropertyIsEqualTo><PropertyName>ark_id</PropertyName><Literal>130</Literal></PropertyIsEqualTo></Filter>,,Early Imperial,,1999,1900,BP (2000),Albania,"{ ""@id"": ""http://dbpedia.org/resource/Albania"", ""label"": ""Albania"" }",,,,
,Fasti Online,,,https://www.zotero.org/groups/periodo/items/AR7SF6U9/,,FALSE,http://www.fastionline.org/cgi-bin/mapserv?map=/var/www/html/fasti-vhost-docroot/config/fasti.map&VERSION=1.0.0&SERVICE=WFS&REQUEST=GetFeature&TYPENAME=periods&FILTER=<Filter><PropertyIsEqualTo><PropertyName>ark_id</PropertyName><Literal>15</Literal></PropertyIsEqualTo></Filter>,,Republican,,2168,2001,BP (2000),Albania,"{ ""@id"": ""http://dbpedia.org/resource/Albania"", ""label"": ""Albania"" }",,,,
,Fasti Online,,,https://www.zotero.org/groups/periodo/items/AR7SF6U9/,,FALSE,http://www.fastionline.org/cgi-bin/mapserv?map=/var/www/html/fasti-vhost-docroot/config/fasti.map&VERSION=1.0.0&SERVICE=WFS&REQUEST=GetFeature&TYPENAME=periods&FILTER=<Filter><PropertyIsEqualTo><PropertyName>ark_id</PropertyName><Literal>14</Literal></PropertyIsEqualTo></Filter>,,Hellenistic,,2336,2168,BP (2000),Albania,"{ ""@id"": ""http://dbpedia.org/resource/Albania"", ""label"": ""Albania"" }",,,,
